"REGIÓN","OTROS TERRITORIOS","PAÍS","Localización","EXIGE VISA CORTA DURACIÓN","EXIGE VISA PARA PASAPORTE OFICIAL","EXIGE VISA PARA PASAPORTE DIPLOMATICO","CONDICIONES ESPECIALES","Identificador","FECHA"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","02/01/2025"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","02/01/2025"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","02/01/2025"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","02/01/2025"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","02/01/2025"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","02/01/2025"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","02/01/2025"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","02/01/2025"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","02/01/2025"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","02/01/2025"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","02/01/2025"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","02/01/2025"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","02/01/2025"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","02/01/2025"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","02/01/2025"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","02/01/2025"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","02/01/2025"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","02/01/2025"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","02/01/2025"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","02/01/2025"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","02/01/2025"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","02/01/2025"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","02/01/2025"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","02/01/2025"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","02/01/2025"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","02/01/2025"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","02/01/2025"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","02/01/2025"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","03/01/2025"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","03/01/2025"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","03/01/2025"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","03/01/2025"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","03/01/2025"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","03/01/2025"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","03/01/2025"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","03/01/2025"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","03/01/2025"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","03/01/2025"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","03/01/2025"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","03/01/2025"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","03/01/2025"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","03/01/2025"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","03/01/2025"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","03/01/2025"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","03/01/2025"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","03/01/2025"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","03/01/2025"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","03/01/2025"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","03/01/2025"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","03/01/2025"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","03/01/2025"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","03/01/2025"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","03/01/2025"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","03/01/2025"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","03/01/2025"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","03/01/2025"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","03/01/2025"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","03/01/2025"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","03/01/2025"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","03/01/2025"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","03/01/2025"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","03/01/2025"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","03/01/2025"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","03/01/2025"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","03/01/2025"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","03/01/2025"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","03/01/2025"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","03/01/2025"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","03/01/2025"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","03/01/2025"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","03/01/2025"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","03/01/2025"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","03/01/2025"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","03/01/2025"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","03/01/2025"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","03/01/2025"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","03/01/2025"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","03/01/2025"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","03/01/2025"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","03/01/2025"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","03/01/2025"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","03/01/2025"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","03/01/2025"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","03/01/2025"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","03/01/2025"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","03/01/2025"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","03/01/2025"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","03/01/2025"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","03/01/2025"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","03/01/2025"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","03/01/2025"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","03/01/2025"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","03/01/2025"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","03/01/2025"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","03/01/2025"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","03/01/2025"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","03/01/2025"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","03/01/2025"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","03/01/2025"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","03/01/2025"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","03/01/2025"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","03/01/2025"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","03/01/2025"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","03/01/2025"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","03/01/2025"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","03/01/2025"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","03/01/2025"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","03/01/2025"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","03/01/2025"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","03/01/2025"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","03/01/2025"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","03/01/2025"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","03/01/2025"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","03/01/2025"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","03/01/2025"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","03/01/2025"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","03/01/2025"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","03/01/2025"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","03/01/2025"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","03/01/2025"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","03/01/2025"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","03/01/2025"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","03/01/2025"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","03/01/2025"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","03/01/2025"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","03/01/2025"
"AMERICA DEL SUR","NO","GUYANA",,"NO","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","81","04/01/2025"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","04/01/2025"
"AMERICA CARIBE","NO","CUBA",,"NO (TARJETA TUR�STICA)","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","TARJETA TUR�STICA","50","04/01/2025"
"AMERICA CARIBE","SI","BONAIRE (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","24","04/01/2025"
"AMERICA CENTRAL","NO","BELICE",,"NO","NO","NO","(N/A)","20","04/01/2025"
"AFRICA CENTRAL","NO","CHAD",,"SI","SI","SI","(N/A)","37","04/01/2025"
"AMERICA DEL SUR","SI","GUYANA FRANCESA",,"NO","NO","NO","(N/A)","82","04/01/2025"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","04/01/2025"
"SUDESTE ASIATICO","NO","CAMBOYA",,"SI","SI","SI","VISA A LA LLEGADA","34","04/01/2025"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","04/01/2025"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","04/01/2025"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","04/01/2025"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","04/01/2025"
"ASIA CENTRAL","NO","AFGANIST�N",,"SI","SI","SI","(N/A)","1","04/01/2025"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","04/01/2025"
"AFRICA OCCIDENTAL","NO","BENIN",,"SI","SI","SI","(N/A)","21","04/01/2025"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","04/01/2025"
"EURASIA","NO","AZERBAIY�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","VISA ELECTR�NICA","14","04/01/2025"
"ORIENTE MEDIO","NO","ISRAEL",,"NO","NO","NO","(N/A)","95","04/01/2025"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","04/01/2025"
"ORIENTE MEDIO","NO","IR�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","89","04/01/2025"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","04/01/2025"
"AMERICA CENTRAL","NO","HONDURAS",,"NO","NO","NO","(N/A)","84","04/01/2025"
"AFRICA DEL SUR","NO","BOTSUANA",,"SI","SI","SI","(N/A)","26","04/01/2025"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","04/01/2025"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","04/01/2025"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","04/01/2025"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","04/01/2025"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","04/01/2025"
"EUROPA SCHENGEN","NO","ITALIA",,"NO","NO","NO","(N/A)","96","04/01/2025"
"AMERICA CENTRAL","NO","GUATEMALA",,"NO","NO","NO","(N/A)","77","04/01/2025"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)",,"NO","NO","NO","NO EXIGE HASTA POR 90 D�AS","85","04/01/2025"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA",,"SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU- CANAD�- REINO UNIDO O SCHENGEN","6","04/01/2025"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","04/01/2025"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","04/01/2025"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL",,"SI","SI","SI","(N/A)","79","04/01/2025"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","04/01/2025"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","04/01/2025"
"EUROPA SCHENGEN","NO","BULGARIA",,"NO","NO","NO","(N/A)","29","04/01/2025"
"AMERICA DEL SUR","NO","ECUADOR",,"NO","NO","NO","(N/A)","55","04/01/2025"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","04/01/2025"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","04/01/2025"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","04/01/2025"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","04/01/2025"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","04/01/2025"
"EUROPA SCHENGEN","NO","HUNGR�A",,"NO","NO","NO","(N/A)","86","04/01/2025"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","04/01/2025"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","04/01/2025"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","04/01/2025"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","04/01/2025"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","04/01/2025"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","04/01/2025"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","04/01/2025"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","04/01/2025"
"AMERICA CARIBE","NO","JAMAICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","97","04/01/2025"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","04/01/2025"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","04/01/2025"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","04/01/2025"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","04/01/2025"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","04/01/2025"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU",,"SI","SI","SI","(N/A)","80","04/01/2025"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","04/01/2025"
"AMERICA CARIBE","NO","BAHAMAS",,"NO","NO","NO","(N/A)","15","04/01/2025"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","04/01/2025"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","04/01/2025"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","04/01/2025"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","04/01/2025"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","04/01/2025"
"AFRICA ORIENTAL","NO","ETIOP�A",,"SI","SI","SI","(N/A)","65","04/01/2025"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL",,"SI","SI","SI","(N/A)","47","04/01/2025"
"EUROPA SCHENGEN","NO","ESTONIA",,"NO","NO","NO","(N/A)","64","04/01/2025"
"EUROPA SCHENGEN","NO","ISLANDIA",,"NO","NO","NO","(N/A)","92","04/01/2025"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","04/01/2025"
"AMERICA DEL SUR","NO","ARGENTINA",,"NO","NO","NO","(N/A)","9","04/01/2025"
"ASIA DEL ESTE","NO","COREA REP�BLICA POPULAR DEM.",,"SI","SI","SI","(N/A)","46","04/01/2025"
"EUROPA SCHENGEN","NO","FINLANDIA",,"NO","NO","NO","(N/A)","68","04/01/2025"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","04/01/2025"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","04/01/2025"
"OCEANIA","NO","AUSTRALIA",,"SI","SI","SI","(N/A)","12","04/01/2025"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","04/01/2025"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","04/01/2025"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","04/01/2025"
"ASIA DEL ESTE","NO","CHINA REP�BLICA POPULAR",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","40","04/01/2025"
"AMERICA CENTRAL","NO","COSTA RICA",,"SI- CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","48","04/01/2025"
"AFRICA OCCIDENTAL","NO","BURKINA FASO",,"SI","SI","SI","(N/A)","30","04/01/2025"
"AMERICA CARIBE","SI","CURAZAO (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","51","04/01/2025"
"EUROPA SCHENGEN","NO","AUSTRIA",,"NO","NO","NO","(N/A)","13","04/01/2025"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","04/01/2025"
"EUROPA ORIENTAL","NO","ALBANIA",,"NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR M�NIMO 6 MESES","2","04/01/2025"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","04/01/2025"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","04/01/2025"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","04/01/2025"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA",,"NO","NO","NO","(N/A)","25","04/01/2025"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","04/01/2025"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","04/01/2025"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","04/01/2025"
"AMERICA DEL SUR","NO","BRASIL",,"NO","NO","NO","(N/A)","27","04/01/2025"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","04/01/2025"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","05/01/2025"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","05/01/2025"
"ASIA DEL ESTE","NO","COREA REP�BLICA",,"NO","NO","NO","(N/A)","45","05/01/2025"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","05/01/2025"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","05/01/2025"
"EUROPA SCHENGEN","NO","CROACIA",,"NO","NO","NO","(N/A)","49","05/01/2025"
